,label,snv,sna,cn,jc,aa,pa,sd
190,0,3,1,0,0.0,0.0,3,5
191,0,3,45,2,0.015503875968992248,0.8636938740997171,135,3
192,1,3,858,2,0.012269938650306749,0.5657585032042879,2574,3
193,0,3,37,2,0.0273972602739726,0.5657585032042879,111,3
194,0,3,2,0,0.0,0.0,6,7
195,1,7,533,6,0.03571428571428571,2.166134503581869,3731,3
196,0,7,29,6,0.08450704225352113,2.166134503581869,203,3
197,0,7,10,4,0.1,1.3537238910293523,70,3
198,1,3,1228,3,0.017964071856287425,1.0133517303610842,3684,3
199,0,3,20,3,0.03333333333333333,1.0133517303610842,60,3
200,0,3,36,0,0.0,0.0,108,40
201,1,1,241,1,0.0078125,0.35609860143758665,241,3
202,0,1,9,1,0.03225806451612903,0.35609860143758665,9,5
203,0,1,38,1,0.012987012987012988,0.35609860143758665,38,3
204,1,11,554,10,0.05952380952380952,3.529950066977949,6094,3
205,0,11,804,10,0.06756756756756757,3.529950066977949,8844,3
206,0,11,9,9,0.17647058823529413,3.1355185128263034,99,5
207,1,1,291,1,0.007246376811594203,0.2814304284315703,291,3
208,0,1,70,1,0.008403361344537815,0.2814304284315703,70,3
209,0,1,18,1,0.009615384615384616,0.2814304284315703,18,3
210,1,3,3575,2,0.011299435028248588,0.6717860634491323,10725,3
211,0,3,3,0,0.0,0.0,9,5
212,0,3,25,1,0.012195121951219513,0.2843280747727176,75,4
213,1,2,52,1,0.017543859649122806,0.5092199809343437,104,1
214,0,2,56,2,0.023529411764705882,1.0919694281946404,112,3
215,0,2,8,1,0.013333333333333334,0.5092199809343437,16,3
216,1,4,72,1,0.00847457627118644,0.2843280747727176,288,4
217,0,4,2,0,0.0,0.0,8,7
218,0,4,1,0,0.0,0.0,4,6
219,1,8,3289,6,0.03260869565217391,2.059722231745086,26312,2
220,0,8,48,7,0.05263157894736842,2.344050306517804,384,3
221,0,8,106,6,0.05172413793103448,1.956592317841389,848,3
222,1,1,3289,1,0.00546448087431694,0.31668029006859366,3289,3
223,0,1,343,1,0.008064516129032258,0.31668029006859366,343,3
224,0,1,14,1,0.016129032258064516,0.31668029006859366,14,3
225,1,0,3289,0,0.0,0.0,0,999999
226,0,0,764,0,0.0,0.0,0,999999
227,0,0,15,0,0.0,0.0,0,999999
228,1,1,3289,0,0.0,0.0,3289,1
229,0,1,6,1,0.03125,0.2843280747727176,6,3
230,0,1,9,1,0.02,0.2843280747727176,9,5
231,1,5,3575,4,0.022598870056497175,1.4935131994977866,17875,3
232,0,5,52,4,0.038461538461538464,1.4935131994977866,260,3
233,0,5,34,4,0.046511627906976744,1.4935131994977866,170,3
234,1,2,3575,2,0.011299435028248588,0.6488246815850452,7150,3
235,0,2,11,1,0.024390243902439025,0.2843280747727176,22,5
236,0,2,25,2,0.024691358024691357,0.6488246815850452,50,3
237,1,3,1228,3,0.017964071856287425,0.9929546864339612,3684,3
238,0,3,4,1,0.125,0.33805644974771665,12,6
239,0,3,1,0,0.0,0.0,3,5
240,1,2,3289,1,0.005434782608695652,0.2814304284315703,6578,1
241,0,2,98,2,0.017543859649122806,0.5657585032042879,196,3
242,0,2,12,2,0.029411764705882353,0.5657585032042879,24,3
243,1,7,3575,7,0.03954802259887006,3.1481635478761456,25025,3
244,0,7,12,2,0.05555555555555555,0.6403888646766402,84,14
245,0,7,60,6,0.05084745762711865,2.559571637808366,420,3
246,1,2,908,2,0.011764705882352941,0.7793295905927058,1816,3
247,0,2,187,2,0.014285714285714285,0.7793295905927058,374,3
248,0,2,355,2,0.012195121951219513,0.7793295905927058,710,3
249,1,1,3575,1,0.005649717514124294,0.34420374081340877,3575,3
250,0,1,1,0,0.0,0.0,1,5
251,0,1,1228,1,0.005988023952095809,0.34420374081340877,1228,3
252,1,1,3575,1,0.005649717514124294,0.31668029006859366,3575,3
253,0,1,36,1,0.01,0.31668029006859366,36,3
254,0,1,96,1,0.00909090909090909,0.31668029006859366,96,3
255,1,1,3575,1,0.005649717514124294,0.34420374081340877,3575,3
256,0,1,1,0,0.0,0.0,1,5
